RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Determiner name	Abundance	Record comment	Life stage	Sex
24509564623781987			24/05/2014	24/05/2014	D	24/05/2014	NBNSYS0000005599	Pyrrhosoma nymphula	D3015	330500	415500	OSI	1000		Glenarm Estate	Damian McFerran		False	False		Damian McFerran				
24509564623781988			24/05/2014	24/05/2014	D	24/05/2014	NHMSYS0000344179	Ischnura elegans	D3015	330500	415500	OSI	1000		Glenarm Estate	Stephen Wright		False	False		Stephen Wright		walled garden		
24509564623781989			09/06/2013	09/06/2013	D	09/06/2013	NBNSYS0000005599	Pyrrhosoma nymphula	F629345	62950	334550	OSI	100		Annagh	Aine Fenner		False	False		Aine Fenner	2			
24509564623781990			09/06/2013	09/06/2013	D	09/06/2013	NBNSYS0000005639	Libellula quadrimaculata	F629345	62950	334550	OSI	100		Annagh	Aine Fenner		False	False		Aine Fenner	1			
24509564623781991			08/06/2013	08/06/2013	D	08/06/2013	NBNSYS0000005599	Pyrrhosoma nymphula	F654332	65450	333250	OSI	100		Annagh Marsh	Andrew Fenner; Aine Fenner		False	False		Andrew Fenner; Aine Fenner				
24509564623781992			08/06/2013	08/06/2013	D	08/06/2013	NHMSYS0000344179	Ischnura elegans	F654332	65450	333250	OSI	100		Annagh Marsh	Andrew Fenner; Aine Fenner		False	False		Andrew Fenner; Aine Fenner				
24509564623781993			23/05/2012	23/05/2012	D	23/05/2012	NBNSYS0000005599	Pyrrhosoma nymphula	F805097	80550	309750	OSI	100		Ballycroy	Rosemarie McDonald		False	False		Rosemarie McDonald		2		
24509564623781994			13/06/2011	13/06/2011	D	13/06/2011	NBNSYS0000005602	Enallagma cyathigerum	F807098	80750	309850	OSI	100		Ballycroy National Park Visitor Centre	Rosemarie McDonald		False	False		Rosemarie McDonald	1		Adult	
24509564623781995			12/05/2010	12/05/2010	D	12/05/2010	NBNSYS0000005599	Pyrrhosoma nymphula	F807098	80750	309850	OSI	100		Ballycroy National Park Visitor Centre	Brid Colhoun		False	False		Brid Colhoun	1		Adult	
24509564623781996			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005599	Pyrrhosoma nymphula	G198045	119850	304550	OSI	100		Cloontubrid Bog	Ken Bond		False	False		Ken Bond	1		Adult	Male
24509564623781997			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005622	Brachytron pratense	G198045	119850	304550	OSI	100		Corrryosla Bridge	Ken Bond		False	False		Ken Bond	1	2 male Common Bue Damselfliesl male GHairy Dragonfly; male Banded Demoiselle.	Adult	Male
24509564623781998			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005602	Enallagma cyathigerum	G198045	119850	304550	OSI	100		Corrryosla Bridge	Ken Bond		False	False		Ken Bond	<10	2 male Common Bue Damselfliesl male GHairy Dragonfly; male Banded Demoiselle.	Adult	Male
24509564623781999			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005617	Calopteryx splendens	G198045	119850	304550	OSI	100		Corrryosla Bridge	Ken Bond		False	False		Ken Bond	1	2 male Common Bue Damselfliesl male GHairy Dragonfly; male Banded Demoiselle.	Adult	Male
24509564623782000			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005602	Enallagma cyathigerum	G205037	120550	303750	OSI	100		Pontoon	Ken Bond		False	False		Ken Bond	1		Adult	Male
24509564623782001			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005601	Ischnura pumilio	G205037	120550	303750	OSI	100		Pontoon	Ken Bond		False	False		Ken Bond	1	female f. aurantiaca	Adult	Female
24509564623782002			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005602	Enallagma cyathigerum	G211039	121150	303950	OSI	100		Pontoon	Ken Bond		False	False		Ken Bond		2 male Common Blue Damselflies		
24509564623782003			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005641	Orthetrum cancellatum	G211039	121150	303950	OSI	100		Pontoon	Ken Bond		False	False		Ken Bond		2 male Common Blue Damselflies		
24509564623782004			14/06/2015	14/06/2015	D	14/06/2015	NBNSYS0000005599	Pyrrhosoma nymphula	G430021	143050	302150	OSI	100		Cloontubrid Bog	Ken Bond		False	False		Ken Bond	1	male		
24509564623782005			25/07/2012	25/07/2012	D	25/07/2012	NBNSYS0000005624	Aeshna juncea	G4333	143500	333500	OSI	1000		Dunneil River	Michael Bell		False	False		Michael Bell	1			
24509564623782006			01/07/2015	01/07/2015	D	01/07/2015	NHMSYS0000344179	Ischnura elegans	G4809	148500	309500	OSI	1000		Eskragh Quarry	Michael Bell		False	False		Michael Bell				
24509564623782007			26/06/2015	26/06/2015	D	26/06/2015	NBNSYS0000005605	Coenagrion pulchellum	G4809	148500	309500	OSI	1000		Eskragh Quarry	Michael Bell		False	False		Michael Bell	1		Adult	
24509564623782008			29/06/2014	29/06/2014	D	29/06/2014	NBNSYS0000005602	Enallagma cyathigerum	G572540	157250	354050	OSI	100		Inishmurray	K. Finch		False	False		K. Finch	1			
24509564623782009			29/06/2014	29/06/2014	D	29/06/2014	NHMSYS0000344179	Ischnura elegans	G572540	157250	354050	OSI	100		Inishmurray	K. Finch		False	False		K. Finch	1			
24509564623782010			15/10/2013	15/10/2013	D	15/10/2013	NBNSYS0000005651	Sympetrum danae	G5914	159500	314500	OSI	1000		Clooncose	Michael Bell		False	False		Michael Bell	1		Adult	
24509564623782011			29/05/2013	29/05/2013	D	29/05/2013	NBNSYS0000005639	Libellula quadrimaculata	G5914	159500	314500	OSI	1000		Clooncose	Michael Bell		False	False		Michael Bell	1		Adult	
24509564623782012			15/05/2015	15/05/2015	D	15/05/2015	NBNSYS0000005599	Pyrrhosoma nymphula	G597130	159750	313050	OSI	100		Drinane Bog	Declan Mac Gabhann		False	False		Declan Mac Gabhann	1		Adult	Male
24509564623782013			10/08/2014	10/08/2014	D	10/08/2014	NBNSYS0000005645	Sympetrum striolatum	G597133	159750	313350	OSI	100		Drinane Bog	Declan Mac Gabhann		False	False		Declan Mac Gabhann	<10		Adult	Male
24509564623782014			10/08/2014	10/08/2014	D	10/08/2014	NBNSYS0000005613	Lestes sponsa	G597134	159750	313450	OSI	100		Drinane Bog	Declan Mac Gabhann		False	False		Declan Mac Gabhann	10 to 50		Adult	Male
24509564623782015			10/08/2014	10/08/2014	D	10/08/2014	NBNSYS0000005651	Sympetrum danae	G597134	159750	313450	OSI	100		Drinane Bog	Declan Mac Gabhann		False	False		Declan Mac Gabhann	<10		Adult	Male
24509564623782016			10/08/2014	10/08/2014	D	10/08/2014	NBNSYS0000005624	Aeshna juncea	G597136	159750	313650	OSI	100		Drinane Bog	Declan Mac Gabhann		False	False		Declan Mac Gabhann	1		Adult	Male
24509564623782017			10/08/2014	10/08/2014	D	10/08/2014	NBNSYS0000005651	Sympetrum danae	G601133	160150	313350	OSI	100		Drinane Bog	Declan Mac Gabhann		False	False		Declan Mac Gabhann	<10		Adult	Male
24509564623782018			09/05/2014	09/05/2014	D	09/05/2014	NBNSYS0000005622	Brachytron pratense	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1		Adult	
24509564623782019			20/09/2013	20/09/2013	D	20/09/2013	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	3			
24509564623782020			20/09/2013	20/09/2013	D	20/09/2013	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782021			20/09/2013	20/09/2013	D	20/09/2013	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782022			20/09/2013	20/09/2013	D	20/09/2013	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	4			
24509564623782023			04/09/2013	04/09/2013	D	04/09/2013	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782024			04/09/2013	04/09/2013	D	04/09/2013	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	3			
24509564623782025			04/09/2013	04/09/2013	D	04/09/2013	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782026			04/09/2013	04/09/2013	D	04/09/2013	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782027			04/09/2013	04/09/2013	D	04/09/2013	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782028			16/07/2013	16/07/2013	D	16/07/2013	NBNSYS0000005605	Coenagrion pulchellum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782029			16/07/2013	16/07/2013	D	16/07/2013	NBNSYS0000005599	Pyrrhosoma nymphula	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782030			16/07/2013	16/07/2013	D	16/07/2013	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782031			16/07/2013	16/07/2013	D	16/07/2013	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782032			16/07/2013	16/07/2013	D	16/07/2013	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782033			05/07/2013	05/07/2013	D	05/07/2013	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782034			05/07/2013	05/07/2013	D	05/07/2013	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782035			05/07/2013	05/07/2013	D	05/07/2013	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	10			
24509564623782036			05/07/2013	05/07/2013	D	05/07/2013	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782037			05/07/2013	05/07/2013	D	05/07/2013	NBNSYS0000005606	Coenagrion puella	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782038			17/06/2013	17/06/2013	D	17/06/2013	NBNSYS0000005599	Pyrrhosoma nymphula	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	3			
24509564623782039			17/06/2013	17/06/2013	D	17/06/2013	NBNSYS0000005622	Brachytron pratense	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782040			17/06/2013	17/06/2013	D	17/06/2013	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782041			17/06/2013	17/06/2013	D	17/06/2013	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782042			17/06/2013	17/06/2013	D	17/06/2013	NBNSYS0000005606	Coenagrion puella	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782043			12/06/2013	12/06/2013	D	12/06/2013	NBNSYS0000005599	Pyrrhosoma nymphula	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782044			12/06/2013	12/06/2013	D	12/06/2013	NBNSYS0000005622	Brachytron pratense	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782045			12/06/2013	12/06/2013	D	12/06/2013	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782046			12/06/2013	12/06/2013	D	12/06/2013	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782047			04/06/2013	04/06/2013	D	04/06/2013	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1		Adult	
24509564623782048			04/06/2013	04/06/2013	D	04/06/2013	NBNSYS0000005599	Pyrrhosoma nymphula	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	<10		Adult	
24509564623782049			29/05/2013	29/05/2013	D	29/05/2013	NBNSYS0000005599	Pyrrhosoma nymphula	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	<10		Adult	
24509564623782050			29/05/2013	29/05/2013	D	29/05/2013	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	<10		Adult	
24509564623782051			29/05/2013	29/05/2013	D	29/05/2013	NBNSYS0000005605	Coenagrion pulchellum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1		Adult	
24509564623782052			23/10/2012	23/10/2012	D	23/10/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782053			27/09/2012	27/09/2012	D	27/09/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782054			27/09/2012	27/09/2012	D	27/09/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782055			22/09/2012	22/09/2012	D	22/09/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782056			22/09/2012	22/09/2012	D	22/09/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782057			20/09/2012	20/09/2012	D	20/09/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782058			20/09/2012	20/09/2012	D	20/09/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782059			20/09/2012	20/09/2012	D	20/09/2012	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782060			20/09/2012	20/09/2012	D	20/09/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782061			14/09/2012	14/09/2012	D	14/09/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782062			14/09/2012	14/09/2012	D	14/09/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782063			03/09/2012	03/09/2012	D	03/09/2012	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782064			03/09/2012	03/09/2012	D	03/09/2012	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782065			03/09/2012	03/09/2012	D	03/09/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782066			03/09/2012	03/09/2012	D	03/09/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782067			03/09/2012	03/09/2012	D	03/09/2012	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782068			03/09/2012	03/09/2012	D	03/09/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	3			
24509564623782069			29/08/2012	29/08/2012	D	29/08/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782070			29/08/2012	29/08/2012	D	29/08/2012	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782071			29/08/2012	29/08/2012	D	29/08/2012	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782072			29/08/2012	29/08/2012	D	29/08/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782073			26/08/2012	26/08/2012	D	26/08/2012	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	3			
24509564623782074			26/08/2012	26/08/2012	D	26/08/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782075			26/08/2012	26/08/2012	D	26/08/2012	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782076			26/08/2012	26/08/2012	D	26/08/2012	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782077			26/08/2012	26/08/2012	D	26/08/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell				
24509564623782078			19/08/2012	19/08/2012	D	19/08/2012	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782079			19/08/2012	19/08/2012	D	19/08/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	4			
24509564623782080			19/08/2012	19/08/2012	D	19/08/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782081			19/08/2012	19/08/2012	D	19/08/2012	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782082			19/08/2012	19/08/2012	D	19/08/2012	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782083			19/08/2012	19/08/2012	D	19/08/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782084			12/08/2012	12/08/2012	D	12/08/2012	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782085			12/08/2012	12/08/2012	D	12/08/2012	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782086			12/08/2012	12/08/2012	D	12/08/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782087			12/08/2012	12/08/2012	D	12/08/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782088			12/08/2012	12/08/2012	D	12/08/2012	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782089			12/08/2012	12/08/2012	D	12/08/2012	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782090			12/08/2012	12/08/2012	D	12/08/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	5			
24509564623782091			06/08/2012	06/08/2012	D	06/08/2012	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782092			06/08/2012	06/08/2012	D	06/08/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell				
24509564623782093			06/08/2012	06/08/2012	D	06/08/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782094			06/08/2012	06/08/2012	D	06/08/2012	NBNSYS0000005602	Enallagma cyathigerum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782095			06/08/2012	06/08/2012	D	06/08/2012	NBNSYS0000005625	Aeshna grandis	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	3			
24509564623782096			06/08/2012	06/08/2012	D	06/08/2012	NHMSYS0000344179	Ischnura elegans	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782097			06/08/2012	06/08/2012	D	06/08/2012	NBNSYS0000005651	Sympetrum danae	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
24509564623782098			29/07/2012	29/07/2012	D	29/07/2012	NBNSYS0000005639	Libellula quadrimaculata	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782099			29/07/2012	29/07/2012	D	29/07/2012	NBNSYS0000005613	Lestes sponsa	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	2			
24509564623782100			29/07/2012	29/07/2012	D	29/07/2012	NBNSYS0000005624	Aeshna juncea	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	3			
24509564623782101			29/07/2012	29/07/2012	D	29/07/2012	NBNSYS0000005645	Sympetrum striolatum	G6015	160500	315500	OSI	1000		Cloonacleigha	Michael Bell		False	False		Michael Bell	1			
